Date,B1,B2,B3,B4,B5,S1
2010-07-17,32,28,47,20,22,6
2010-07-19,27,24,16,10,47,5
2010-07-21,43,45,21,3,9,1
2010-07-24,18,43,16,7,33,5
2010-07-26,4,42,37,23,43,7
2010-07-28,25,37,7,10,47,10
2010-07-31,2,25,44,28,8,4
2010-08-02,16,32,44,38,37,3
2010-08-04,32,8,46,22,9,8
2010-08-07,43,6,46,27,5,7
2010-08-09,7,15,18,8,25,6
2010-08-11,7,22,8,26,5,2
2010-08-14,21,27,9,49,11,5
2010-08-16,13,22,40,28,31,9
2010-08-18,49,43,46,27,23,6
2010-08-21,8,44,14,48,29,7
2010-08-23,49,41,9,28,16,5
2010-08-25,39,49,23,19,36,3
2010-08-28,13,16,18,20,19,2
2010-08-30,22,49,28,3,16,4
2010-09-01,20,39,33,21,16,2
2010-09-04,11,42,9,49,15,3
2010-09-06,29,22,17,19,43,8
2010-09-08,24,47,21,44,13,3
2010-09-11,36,41,45,13,7,5
2010-09-13,33,39,25,43,8,8
2010-09-15,40,1,30,8,38,6
2010-09-18,7,43,33,11,1,1
2010-09-20,1,37,25,45,17,9
2010-09-22,37,38,2,14,17,1
2010-09-25,42,5,12,29,21,2
2010-09-27,15,1,23,22,46,9
2010-09-29,41,32,33,25,26,3
2010-10-02,35,13,16,41,7,1
2010-10-04,7,46,31,29,9,8
2010-10-06,33,6,43,25,37,1
2010-10-09,17,43,23,2,26,3
2010-10-11,9,20,35,4,1,8
2010-10-13,33,22,9,44,25,3
2010-10-16,37,22,46,13,1,9
2010-10-18,1,31,38,26,29,5
2010-10-20,13,24,33,18,11,7
2010-10-23,47,49,9,16,14,7
2010-10-25,4,36,40,10,41,10
2010-10-27,32,13,15,46,3,5
2010-10-30,38,35,4,22,14,5
2010-11-01,17,24,28,1,15,10
2010-11-03,46,33,15,6,49,1
2010-11-06,24,19,35,7,42,3
2010-11-08,35,6,9,14,47,9
2010-11-10,47,48,20,39,16,4
2010-11-13,5,17,25,38,29,2
2010-11-15,33,47,14,20,17,1
2010-11-17,30,38,4,9,46,10
2010-11-20,27,12,11,29,1,2
2010-11-22,4,21,17,23,26,2
2010-11-24,32,20,22,47,14,5
2010-11-27,9,43,15,44,10,5
2010-11-29,15,23,16,41,30,8
2010-12-01,34,14,32,31,46,3
2010-12-04,33,12,24,7,15,6
2010-12-06,13,30,33,25,36,9
2010-12-08,19,15,44,4,24,1
2010-12-11,38,3,9,11,28,1
2010-12-13,6,14,49,40,9,3
2010-12-15,37,6,16,28,4,8
2010-12-18,35,41,40,11,22,7
2010-12-20,32,23,9,6,13,4
2010-12-22,8,18,36,1,29,9
2010-12-25,16,30,29,7,10,5
2010-12-27,30,44,42,39,13,9
2010-12-29,47,15,46,29,11,3
2011-01-01,43,49,46,34,11,3
2011-01-03,34,37,10,18,30,2
2011-01-05,27,47,4,5,32,5
2011-01-08,47,34,12,30,31,10
2011-01-10,35,33,40,37,11,4
2011-01-12,41,40,30,28,17,7
2011-01-15,26,43,6,36,29,8
2011-01-17,48,49,36,24,21,5
2011-01-19,36,4,12,13,1,4
2011-01-22,13,27,6,31,8,7
2011-01-24,3,39,6,48,9,4
2011-01-26,23,45,6,48,17,1
2011-01-29,14,33,44,31,12,8
2011-01-31,20,10,13,43,3,5
2011-02-02,27,6,44,23,22,3
2011-02-05,31,22,37,6,1,7
2011-02-07,6,8,49,35,25,1
2011-02-09,15,31,41,27,43,7
2011-02-12,13,38,2,45,4,2
2011-02-14,31,35,40,9,48,1
2011-02-16,44,35,32,8,33,9
2011-02-19,25,2,49,32,1,6
2011-02-21,36,20,21,9,46,6
2011-02-23,5,2,33,21,28,10
2011-02-26,35,24,10,26,48,1
2011-02-28,20,49,40,17,31,6
2011-03-02,20,22,40,2,3,7
2011-03-05,11,45,44,27,31,2
2011-03-07,7,38,23,9,17,5
2011-03-09,9,43,3,29,15,8
2011-03-12,15,34,22,33,16,9
2011-03-14,32,38,36,34,27,7
2011-03-16,23,20,32,7,14,4
2011-03-19,26,10,11,23,1,8
2011-03-21,28,23,3,40,31,1
2011-03-23,13,4,24,21,10,5
2011-03-26,17,26,34,4,30,9
2011-03-28,15,10,16,46,43,1
2011-03-30,15,23,27,43,29,10
2011-04-02,5,24,7,46,35,3
2011-04-04,12,23,37,13,10,7
2011-04-06,12,19,1,32,44,3
2011-04-09,6,20,31,22,41,8
2011-04-11,13,47,22,3,32,6
2011-04-13,38,6,33,43,23,1
2011-04-16,17,35,24,47,6,8
2011-04-18,6,10,22,7,21,5
2011-04-20,15,41,18,17,33,9
2011-04-23,40,21,28,32,8,9
2011-04-25,18,2,21,34,10,2
2011-04-27,5,26,14,28,23,6
2011-04-30,8,49,42,9,2,3
2011-05-02,25,23,4,1,40,2
2011-05-04,44,29,11,7,13,2
2011-05-07,42,28,37,38,3,8
2011-05-09,13,48,3,26,22,7
2011-05-11,45,14,26,28,38,5
2011-05-14,38,31,35,42,3,8
2011-05-16,41,43,9,11,46,8
2011-05-18,27,23,16,17,47,1
2011-05-21,27,15,35,5,14,10
2011-05-23,15,29,38,19,33,3
2011-05-25,14,45,34,27,38,3
2011-05-28,2,5,3,1,43,9
2011-05-30,14,22,47,20,21,9
2011-06-01,30,45,32,25,26,5
2011-06-04,35,4,27,15,3,2
2011-06-06,10,30,45,22,13,1
2011-06-08,20,16,40,11,24,5
2011-06-11,39,32,44,37,5,5
2011-06-13,22,3,18,17,28,6
2011-06-15,47,41,9,37,36,8
2011-06-18,9,12,43,46,33,10
2011-06-20,27,2,23,8,36,9
2011-06-22,33,21,26,28,22,5
2011-06-25,39,43,10,17,6,3
2011-06-27,43,5,14,20,12,3
2011-06-29,38,11,37,1,18,4
2011-07-02,49,11,26,1,7,5
2011-07-04,14,46,31,25,37,4
2011-07-06,9,33,10,24,3,6
2011-07-09,15,4,31,45,44,6
2011-07-11,7,43,23,48,47,9
2011-07-13,4,46,41,12,16,6
2011-07-16,27,35,42,18,37,3
2011-07-18,19,5,38,47,26,7
2011-07-20,26,45,18,23,6,6
2011-07-23,43,32,18,13,46,5
2011-07-25,38,22,3,11,41,7
2011-07-27,6,11,7,5,4,10
2011-07-30,8,41,20,46,12,1
2011-08-01,32,37,43,10,25,3
2011-08-03,20,4,19,17,5,10
2011-08-06,17,13,15,4,39,4
2011-08-08,18,12,1,26,30,9
2011-08-10,28,4,27,29,38,2
2011-08-13,3,13,4,41,5,9
2011-08-15,23,3,8,4,1,8
2011-08-17,8,49,29,45,3,9
2011-08-20,21,40,49,31,22,4
2011-08-22,40,36,38,44,17,1
2011-08-24,3,36,47,4,17,4
2011-08-27,27,21,19,13,45,2
2011-08-29,46,30,12,3,10,2
2011-08-31,7,42,39,9,5,3
2011-09-03,42,41,7,13,47,5
2011-09-05,7,17,22,10,23,5
2011-09-07,13,40,41,3,12,7
2011-09-10,15,1,28,24,10,5
2011-09-12,13,45,18,32,30,2
2011-09-14,14,42,5,16,11,3
2011-09-17,15,40,1,23,2,4
2011-09-19,13,1,27,48,35,7
2011-09-21,40,20,46,19,16,4
2011-09-24,36,4,41,33,40,6
2011-09-26,11,44,33,4,49,9
2011-09-28,16,42,36,3,8,3
2011-10-01,25,38,14,32,15,3
2011-10-03,40,28,27,12,4,1
2011-10-05,20,2,7,42,27,5
2011-10-08,31,44,21,30,22,7
2011-10-10,15,47,16,45,3,7
2011-10-12,12,9,20,30,25,5
2011-10-15,13,37,27,5,39,3
2011-10-17,14,13,18,4,48,10
2011-10-19,38,35,23,3,44,8
2011-10-22,45,44,32,29,6,7
2011-10-24,15,18,17,5,31,7
2011-10-26,35,6,2,3,20,1
2011-10-29,12,17,46,42,38,8
2011-10-31,24,13,47,37,21,7
2011-11-02,2,38,44,35,42,9
2011-11-05,38,2,13,32,20,10
2011-11-07,18,47,11,2,30,5
2011-11-09,17,8,23,12,37,2
2011-11-12,44,48,13,33,12,7
2011-11-14,25,43,18,22,3,7
2011-11-16,37,41,27,17,12,10
2011-11-19,45,37,22,33,34,5
2011-11-21,46,33,31,49,18,1
2011-11-23,39,16,6,10,21,5
2011-11-26,47,31,16,3,39,1
2011-11-28,11,24,1,15,2,9
2011-11-30,29,2,42,49,4,2
2011-12-03,31,6,49,34,26,1
2011-12-05,43,47,38,36,30,5
2011-12-07,32,35,31,48,8,1
2011-12-10,14,43,26,30,28,8
2011-12-12,48,29,1,25,16,1
2011-12-14,42,14,21,33,48,1
2011-12-17,41,9,37,38,34,5
2011-12-19,42,23,13,35,26,5
2011-12-21,27,42,33,45,37,2
2011-12-24,7,10,28,11,12,8
2011-12-26,36,43,42,23,28,4
2011-12-28,39,41,16,31,36,5
2011-12-31,32,35,17,28,2,2
2012-01-02,3,36,30,16,24,9
2012-01-04,10,23,2,43,34,5
2012-01-07,1,6,12,10,8,8
2012-01-09,34,15,26,25,32,4
2012-01-11,9,7,44,36,23,7
2012-01-14,1,38,19,49,29,8
2012-01-16,39,36,29,47,38,8
2012-01-18,21,9,33,13,42,4
2012-01-21,36,23,1,31,17,4
2012-01-23,39,44,48,20,25,6
2012-01-25,2,23,8,30,48,5
2012-01-28,23,12,47,15,18,6
2012-01-30,22,40,1,35,32,8
2012-02-01,16,5,49,43,2,7
2012-02-04,38,32,10,17,9,3
2012-02-06,15,49,24,13,29,3
2012-02-08,27,19,12,37,15,3
2012-02-11,11,12,46,32,36,6
2012-02-13,23,9,22,24,36,5
2012-02-15,11,36,10,22,31,1
2012-02-18,49,48,5,17,47,6
2012-02-20,34,31,9,3,35,5
2012-02-22,43,33,39,11,31,10
2012-02-25,8,7,19,4,27,1
2012-02-27,45,41,33,8,23,1
2012-02-29,14,27,11,17,35,4
2012-03-03,2,24,3,39,27,8
2012-03-05,31,30,28,34,17,3
2012-03-07,6,39,31,22,16,7
2012-03-10,2,40,4,44,37,5
2012-03-12,48,25,16,46,14,10
2012-03-14,13,7,31,36,43,9
2012-03-17,32,14,49,23,13,1
2012-03-19,10,28,4,11,15,4
2012-03-21,8,14,43,37,48,5
2012-03-24,48,8,18,13,11,8
2012-03-26,36,14,49,29,13,6
2012-03-28,15,20,45,17,4,9
2012-03-31,16,25,1,26,2,9
2012-04-02,33,23,3,19,39,2
2012-04-04,36,40,27,38,11,8
2012-04-07,46,19,45,42,47,8
2012-04-09,26,14,31,33,2,10
2012-04-11,49,27,15,29,19,1
2012-04-14,1,22,45,40,3,1
2012-04-16,2,21,13,1,16,2
2012-04-18,34,5,3,20,24,3
2012-04-21,41,3,48,31,18,10
2012-04-23,33,9,34,45,24,6
2012-04-25,44,15,20,30,29,7
2012-04-28,48,22,10,2,37,4
2012-04-30,39,22,32,18,4,4
2012-05-02,35,26,29,3,38,1
2012-05-05,21,10,37,8,11,9
2012-05-07,21,13,26,46,12,10
2012-05-09,36,26,18,41,32,4
2012-05-12,6,34,22,20,19,5
2012-05-14,26,11,3,22,43,6
2012-05-16,21,49,22,15,31,1
2012-05-19,11,23,48,24,42,2
2012-05-21,37,45,23,19,7,10
2012-05-23,19,1,35,49,3,9
2012-05-26,27,47,40,41,29,7
2012-05-28,30,42,38,15,41,3
2012-05-30,9,30,13,17,5,3
2012-06-02,26,9,34,39,22,1
2012-06-04,38,42,35,43,40,4
2012-06-06,21,23,12,24,13,6
2012-06-09,13,25,14,18,20,6
2012-06-11,20,6,16,4,29,1
2012-06-13,33,48,20,8,3,10
2012-06-16,14,31,1,39,27,6
2012-06-18,37,5,7,16,38,3
2012-06-20,36,33,15,41,47,5
2012-06-23,41,12,6,47,27,3
2012-06-25,27,11,40,10,13,7
2012-06-27,22,41,5,1,11,7
2012-06-30,13,45,1,42,12,4
2012-07-02,2,15,7,46,6,5
2012-07-04,13,40,37,17,39,6
2012-07-07,5,30,17,1,44,1
2012-07-09,15,38,41,45,26,3
2012-07-11,23,20,30,21,36,9
2012-07-14,22,44,40,5,41,6
